Unnamed: 0,id,UserId,ProductId,Time,Score,Summary,Text,helpful
AVqkIj9snnc1JgDc3khU,AVqkIj9snnc1JgDc3khU,Lucy,B01AHB9C1E,2017-04-17T00:00:00.000Z,5,Great.,"I bought this kindle for my 11yr old granddaughter for Christmas. Me and my husband both had kindles several years prior, and she and my 6 year old grandson love watching and playing on them. Both children have all kinds of game systems but use the kindle way more. My 6 yr old grandson still plays with mine and loves watching you tube, videos and playing games on it. He has several game systems, Xbox, sega, ds but still uses my kindle all the time over those systems.my husband used his all the time for everything from internet to watching movies and shows. I'm getting ready to buy my grandson a new kindle( mine is a bit older and has cracked screen now but still works good).He would like one to call his own. I'm looking at a 16 GB or 32 GB.they are really durable and tough.",True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,notonfire1,53-004484,2017-04-18T00:00:00.000Z,2,short life,Not a good product short battery life i can only use for 20 minutes,False
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Gene,B010CEHQTG,2018-01-12T00:00:00.000Z,4,Great,"We love it to control the whole house lighting with Phillips Hue bulbs, as well as just everyday use for alarms, reminders, questions, news and even adjusting A/C, and Pandora Music Playlists. Bought one for my family as well.",True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,uxotech,B06XB29FPF,2017-11-24T00:00:00.000Z,5,Echo Plus,The device is extremely useful for all those who choose to have a smart/connected home. The built-in hub helps you to connect your devices easier than not having it. I would recommend this device especially if you have a prime membership.,True
AWK8z0pOIwln0LfXlSxH,AWK8z0pOIwln0LfXlSxH,Steve,B01J24C0TI,2017-12-22T00:00:00.000Z,5,Adds to my Dots,I like the video feature for my doorbell. Wish it automatically showed a picture when door bell rung. Does not FaceTime. Maybe later. Also not all cameras are compatible.,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Crowhitt,53-004755,2016-07-13T00:00:00.000Z,3,Not as good as I'd hoped,I'll give it 3 starts because it's a decent tablet. But if the screen messes up when I'm trying to use it i can't imagine how my granddaughter feels.,False
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,DanPA,B010CEHQTG,2017-07-24T00:00:00.000Z,4,Great addition to the Echo family,"This is a great addition to the Echo family, bringing new and cool features.",True
AVpidLjVilAPnD_xEVpI,AVpidLjVilAPnD_xEVpI,Terri,53-004648,2017-07-29T00:00:00.000Z,5,Great Kindle!!,I love my new Kindle!! I would recommend this to everyone!! It has so many features and love the size!!,True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,PatW,53-004729,2016-12-23T00:00:00.000Z,5,Well satisfied with the TV,Enjoy the performance and size of the television we purchased. We are very satisfied with this product,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Jules,B010CEHQTG,2017-12-20T00:00:00.000Z,5,Love love love it,Great product. Absolute love it. Alexa is fun to converse with and has a wealth of information,True
AVqVGZSEQMlgsOJE6eUc,AVqVGZSEQMlgsOJE6eUc,Barb,53-004447,2018-02-21T00:00:00.000Z,4,Good product,Nice and convenient just wish that it came with written directions so that I could brighten up the screen.,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Jere,B06XB29FPF,2017-12-08T00:00:00.000Z,5,Great for home use,"Echo plus is great for home use, to ask questions and turn the lights on when you away.",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,JUD1213,53-004729,2017-04-08T00:00:00.000Z,5,Excellent small tablet and outstanding e-reader!,"This is my second Kindle Fire and I have been extremely pleased with them both. This second one is much more versatile, and I love it!",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Cricket,B010CEHQTG,2018-04-18T00:00:00.000Z,5,I love my Alexa show.,My daughter bought a show so my 10 year old grandson could get in touch with her when he got home from school so I bought one so he could call us and we can see each other. We love it.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Alex,53-004484,2017-05-18T00:00:00.000Z,4,Great price,This is a great Tablet at a really great price. The best part is if you happen to break it just buy a new one,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Willy,53-004755,2017-01-06T00:00:00.000Z,3,Great for small kids,Good for alittle ones for games and movies picture not so clear but not expensive,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Ivanmanxi,53-004484,2017-01-08T00:00:00.000Z,5,very nice tablet for the price,"The new tablet is great ！ nice upgrades！Love how easy it is to use. Easy to get apps, shop and browse the web.",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,mytoy,B010CEHQTG,2017-12-29T00:00:00.000Z,5,Great Alexa Device,I love that you and now see your answer on a screen with the Alexa Echo Show!!!,True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,Brad,B018Y224PY,2017-05-18T00:00:00.000Z,4,Good Product,Bought this for my grandson along with a case for his birthday. He loves it and all the apps available for a kid his age.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Billy,53-004484,2017-01-23T00:00:00.000Z,5,Fantastic for light internet access.,"Great for reading e-mail, pictures or viewing internet.",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Joestixx,B010CEHQTG,2018-02-17T00:00:00.000Z,5,So easy to use,We bought 2 of them and love them. The screen is really clear and the sound is amazing. Go get one,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,wcpitboss,53-004484,2017-01-30T00:00:00.000Z,4,Nice lower priced tablet,"For its price, this a great little tablet. It does have limitations on what it can do and what apps are available for use with it which is the only reason I gave it 4 rather than 5 stars. Hopefully Amazon will allow it to perform better soon.",True
AVpidLjVilAPnD_xEVpI,AVpidLjVilAPnD_xEVpI,Betty,53-004648,2017-07-28T00:00:00.000Z,5,Easier to read,"I've had the first kindle fire, I love the tablet.Why because it's bigger",True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,Epinzon25,B018Y224PY,2016-06-18T00:00:00.000Z,4,Nice starter tablet for my nephew.,Nice starter tablet for my nephew. Does what we need it to do.,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,neuby,B06XB29FPF,2017-12-08T00:00:00.000Z,4,Good product.,This purchase is replacing an echo for that is being moved to a bedroom. The sound is far superior to the dot (which has decent sound). The echos just keep getting better and more useful.,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,EVMissy,B010CEHQTG,2018-01-06T00:00:00.000Z,4,The Show is an Interesting New Alexa Device,"The Show is the new Alexa Device with a video screen. I like being able to see a screen when you ask questions, and you can view videos too. I also like that you can see the temperature, and date without having to ask. I like you can view a video of a recipe, not just see text. The one item missing from this great device is the capability to hook it up to your surround audio system.I have two dots and love them. The Show would be perfect if I could also hook it up to my audio system. Even though this feature does not exist, it still is a great product.",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,homemaker,53-004729,2016-06-04T00:00:00.000Z,5,great tablet for a great price!,"I bought this a few weeks ago and use it every day. i've had no problems and it works perfectly! My only complaint is the camera. The pictures are not as clear as I would prefer. All in all though, for the price, I would buy it again!",True
AVqVGZSEQMlgsOJE6eUc,AVqVGZSEQMlgsOJE6eUc,shhimreading,53-004447,2016-12-24T00:00:00.000Z,5,Simple and Easy To Use,"I haven't used any other kindle before, but this kindle was made to do its job and it does it properly. It is sleek, lightweight and sturdy. I love putting it in my bag and taking it with me wherever I go - just in case I get a chance to read. Like it says in the description, you can download books and read it anywhere - you don't need wifi to read. Battery life is great. It has a matted screen and you can make the font as big or as small as you want. The down side is that the screen is small, so you can only get through so much before you have to flip the screen. Also there is no brightness controller for the screen so you can only read it where it's light. But I honestly love my kindle, it does it's job and I don't want anything that get's fancier than this.",True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Moe1,53-004484,2017-03-15T00:00:00.000Z,5,Easy use,This was a surprise when we opened it up! Bright and colorful!!,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,22Tronic,53-004755,2017-03-08T00:00:00.000Z,5,Kid Tablet,My daughter loves her tablet I love free time love the case it came with just right to buy for a kids first tablet,True
AVqVGWLKnnc1JgDc3jF1,AVqVGWLKnnc1JgDc3jF1,KiKi,53-004683,2016-12-14T00:00:00.000Z,5,Great for keeping kids entertained,I really like that my child is engaged with all of the different apps we have downloaded.,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,ERoc,B010CEHQTG,2017-07-19T00:00:00.000Z,5,Echo Show,"Bought the Echo Show to add on all my smart wifi appliances, wifi video doorbell, smart TV & sound bar, wifi smart lights, wifi smart thermostat, wifi security camera system and so on.",True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,bear,53-004755,2016-09-30T00:00:00.000Z,5,Great tablet,Bought this for my 3 year old grandson and he loves it good learning tool along with great fun for him!,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Rick1101,53-004484,2017-01-23T00:00:00.000Z,4,Great Little Tablet,"I bought this for my wife, this is her third Amazon Fire tablet. She mostly uses it for reading but she really likes the speed and the additional features on this one. She's very happy with it",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,mdharbarth,B010CEHQTG,2017-12-16T00:00:00.000Z,5,Kid friendly,"We love that even our four year old can tell Alexa to ""call papa"" or Alexa turn on the kitchen lights!",True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Aidans,53-004755,2016-09-16T00:00:00.000Z,4,"Cute, but not user friendly","nice item, and cute. the tablet is difficult to navigate",False
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,MickeytheMetMan,B06XB29FPF,2018-01-18T00:00:00.000Z,4,So far so good,I purchased my Eco for the holidays. It took me considerable time to get minimally operational. It is rather complex to hook up to other devises. So far it is only hooked up to my Dot. I wish there were more varieties of ways to learn how to use it. I am not nearly able to make use of it yet. But...it does look exciting if I ever get there.,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Lyss,53-004755,2017-01-16T00:00:00.000Z,5,Great tablet for a great price,My husband and I purchased 3 of these for each of our kiddos and to say they're a hit would be a massive understatement. And the parental controls on these are awesome. We love our new Fires!!,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,ATomP,53-004755,2017-01-07T00:00:00.000Z,4,Nice tablet for a youngster,"My granddaughter really likes it. ""She"" found age-appropriate games to play.",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Bandit78,53-004729,2016-07-23T00:00:00.000Z,5,Great Alternative to Ipad,I bought this for my kids its a cheap alternative to an Ipad mini and should they lose it or break it its easy to replace with little out of pocket.,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Nicole,53-004755,2017-03-15T00:00:00.000Z,5,Perfect for kids,"My mom bought the tablets first for my sisters for Christmas an then my 4 year old wanted one so I purchased one for her. She loves it uses it for games, Netflix, an she is home school so she is able to do her work on the tablet as well",True
AVqkIh8WQMlgsOJE6fu-,AVqkIh8WQMlgsOJE6fu-,Lynne134,4591,2017-01-09T00:00:00.000Z,5,Students will love this!,I found the Amazon Fire HD to be very easy to travel back and forth to school. I can easily transfer my work in class to my main computer at home!,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Budman,53-004755,2017-01-28T00:00:00.000Z,4,granddaughters love it,"good product for youngsters, provides learning and fun together",True
AVphPmHuilAPnD_x3E5h,AVphPmHuilAPnD_x3E5h,Texassue,B00IOY8XWQ,2017-07-29T00:00:00.000Z,5,My second one,Love this kindle - the press side page turner is great.,True
AVpfIfGA1cnluZ0-emyp,AVpfIfGA1cnluZ0-emyp,Iodine,55-000662,2017-03-15T00:00:00.000Z,5,Great item,Have been using this item and it seems to be working quite well.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,WiggyWoo,53-004484,2017-01-03T00:00:00.000Z,5,Great Amazon tablet,"I have the HD 7 and an HDX 7, and the 8 outperforms them both. If you are an Amazon fan of the eco system, this is a must. The screen is bright and crisp. The processor performs very well with the latest software update. I love it.",True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Eric,53-004484,2016-12-07T00:00:00.000Z,4,Decent....,"Just decent tablet... working fast, but it needs more language support and apps as well...",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,texas21944,53-004729,2016-08-19T00:00:00.000Z,5,love it!,fits easily into my purse or bag. small compact!!!,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,liltweetaf,53-004484,2017-02-17T00:00:00.000Z,5,Amazon Lover,"I am an avid Amazon user for shopping and tablets, I bought a different model for my younger brother and now purchased this one for my grandparents and they love it!",True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Chadp81,B018Y225IA,2016-06-05T00:00:00.000Z,3,Solid tablet,I bought this as s present for my 65 year old grandma. She loves it. Very easy to operate. No issues,True
AVqVGZNvQMlgsOJE6eUY,AVqVGZNvQMlgsOJE6eUY,wcy405100,B00ZV9PXP2,2017-01-07T00:00:00.000Z,5,nice gift,It's a perfect gift for young adult during the holiday session.,True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,jedimaster,B018Y225IA,2017-03-17T00:00:00.000Z,5,amazon fire 7 inch tablet,amazon fire 7 inch tablet is a great product and works great and no issues,True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,SWR55,B018Y224PY,2017-02-03T00:00:00.000Z,4,Simple to use,I like the unit but battery seems to run down more quickly that my previous Fire. Also gets warm while charging.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,macfan,53-004484,2017-02-24T00:00:00.000Z,5,Great tablet for the $,"I bought this as a cheap alternative to an old, slow, iPad 2, until I could spring for the iPad Pro. Got it as a Black Friday deal, so it was more than worth it. Was able to add some missing apps that make it even better than I thought it could be, and having Amazon Prime makes it an inexpensive and handy media device. I carry it in my bag at all times without having to worry about it's value. Can't beat it for the price.",True
AVpfpK8KLJeJML43BCuD,AVpfpK8KLJeJML43BCuD,oldschool,53-004496,2017-01-28T00:00:00.000Z,4,Great Gift,"This was a excellent gift for the family, A good choice.",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,JHAZ,B010CEHQTG,2017-11-07T00:00:00.000Z,5,Love the new Echo Show,"I was hesitant on purchasing this new echo but I'm glad I did. I really like having the feedback on the screen and seeing results in addition to the voice. Using it for weather, recipes and anything that can be displayed is a big help. The echo show responds fairly fast and looks great in my kitchen counter. A definite winner on this one.",True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,RecceGuy,53-004484,2017-04-20T00:00:00.000Z,4,good basic tablet and excellent price,Bought for wife who is not into the techie word. She likes it - suggest buying a protective screen and padded case for it.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Animal51,53-004484,2017-01-07T00:00:00.000Z,4,Great Buy,"i just adore my fire 8...the features, size of screen, easy log in and graphics",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Robert,53-004729,2016-08-05T00:00:00.000Z,5,Good and cheap,"Bought it for my wife and I haven't heard any complaints, so I think it's great. If she's happy I'm happy",True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Janny,B06XB29FPF,2017-12-15T00:00:00.000Z,5,Great,Love listening to music and having it turn my light on and off,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Longmire34,B06XB29FPF,2017-12-09T00:00:00.000Z,5,A great purchase,Sound quality is very good & Sleek design is nice.,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Clint,B06XB29FPF,2017-12-01T00:00:00.000Z,5,ALEXA!!,This thing works great! I would recommend to all of my friends. Should have bought one sooner. We listen to music non stop now.,True
AVqVGZO3nnc1JgDc3jGK,AVqVGZO3nnc1JgDc3jGK,Jus10nHouston,53-003778,2017-03-09T00:00:00.000Z,1,Horrible Battery Life,This is not an upgrade by any means! My three year old kindle outperformed Oasis.Battery life better than a week with the lights on lowest setting Magnetic connector is poorly designed and grows weak Two pieces to keep up with; unsnaps constantly Amazon Customer Services promises it will resolved in an update,False
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,ChargerD,B018Y225IA,2016-07-02T00:00:00.000Z,5,Love my new Fire,Best electronic I purchased for myself this year. Great price too.,True
AVpfpK8KLJeJML43BCuD,AVpfpK8KLJeJML43BCuD,Breezy,53-004496,2017-01-23T00:00:00.000Z,3,Good Bluetooth device,"Speaker is pretty loud and I love that I can take with me but the only downside is you have to hold the ""home"" button to use Alexa",True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Freebap36,B018Y225IA,2017-01-06T00:00:00.000Z,4,A great value for the product,The connectivity was okay to setup for access the navigation was a little clumsy. Overall good product for a good price in it's category.,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Rme03,53-004755,2016-12-26T00:00:00.000Z,5,Easy setup,This has the all speed and storage I needed for my preschooler. The case is soft and light and I can tell it will protect the tablet really well. I really like the ease of getting to the kid-friendly apps and videos. Has easy to set up parental controls.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Chavez,53-004484,2016-11-16T00:00:00.000Z,5,The best !!!,"I love my kindle. It fast, great pict quality and is so convenient to use. I love using it to watch Netflix. It worth the purchase if you don't want to spend so much money.",True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,maggie,53-004755,2017-01-07T00:00:00.000Z,5,Good size,I bout this item for my granddaughter for Christmas. It has games that she enjoys playing The case protects the device very well. It also can be set up for age appropriate games etc. As she gets older you can change that. It is bigger than an iPod and smaller than an iPad and has a better price. Since it is a google device you can go there to get more apps,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Sandy,53-004484,2017-01-19T00:00:00.000Z,4,Best buy for the kids!,One of the best tablets. Good for watching YouTube and reading as well.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Sunnygirl20,53-004484,2016-12-30T00:00:00.000Z,5,Excellent tablet for a gift,I gave my husband this tablet for Christmas. He is very pleased with the product. He likes it much better than the last tablet that I purchased him 3 years ago. He highly recommends the product.,True
AVpfpK8KLJeJML43BCuD,AVpfpK8KLJeJML43BCuD,Sparkygirl,53-004496,2017-06-22T00:00:00.000Z,4,Great portable speaker,"The Tap is a great portable speaker with fantastic sound. If you press a button then you can connect to Amazon Alexa and she can play your music, answer questions, etc. Downgraded one star because there is supposed to be a hands free option for Alexa but I haven't been able to get it to work. Still great to be able to take this around the house vs Echo which is tied to the plug.",True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Abbey,B06XB29FPF,2017-12-15T00:00:00.000Z,5,Awesome,"Love the knowledge it gives, and easy for my older brother who does. It so technology.",True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Keith,53-004755,2016-09-16T00:00:00.000Z,5,Tablet for children,It's a really good tablet for children good parental controls expandable up to 128 gigs I like that so it allowed me to download as many things for the children to utilize separate from the Internet all around is a good device,True
AVqVGZO3nnc1JgDc3jGK,AVqVGZO3nnc1JgDc3jGK,dempshw,53-003778,2017-02-03T00:00:00.000Z,5,The best Kindle yet,"Small, light, but comfortable to hold with either hand. If you keep it in airplane mode with medium lighting, the battery last for weeks. Lovin' it so far.",True
AVqVGWLKnnc1JgDc3jF1,AVqVGWLKnnc1JgDc3jF1,Pjoann,53-004683,2016-09-09T00:00:00.000Z,5,Money's Worth,The Kindle Fire is small but does everything it should for a young child. Worth the low cost I paid for it.,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Lisa,B010CEHQTG,2017-11-18T00:00:00.000Z,5,Great Computer Assistant,I love my new Alexa Show. Checked prices thoroughly and Best Buy was was the “best” and 5 minutes away. Product is great. Easy setup and works as stated. Staff very helpful. Would recommend this product and definitely this model. :),True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,BULLETBOB,B06XB29FPF,2018-01-10T00:00:00.000Z,5,works great,great sound. Love the music and the electrical devices you can work with it.,True
AVpfpK8KLJeJML43BCuD,AVpfpK8KLJeJML43BCuD,MonLaRose,53-004496,2017-06-23T00:00:00.000Z,5,Great Bluetooth Speakers,"I only purchased this because I loved the sound quality. Alexa is just a added bonus personally as I rarely hit the ""tap"" button to ask her anything. The few times I asked her questions, she hasn't disappointed. EXTRA: Now what would make this device amazing is if Alexa was able to connect to my Apple Music playlist! If only...",True
AVphPmHuilAPnD_x3E5h,AVphPmHuilAPnD_x3E5h,opsmgr3774,B00IOY8XWQ,2014-11-04T00:00:00.000Z,4,Another improvement on the Kindle line,"Moving to this from the first generation Paperwhite appears to have been the right move. I love the new size, it just feels tiny and perfect in the hand. The new automatic brightness setting works quite well. I do wish I could crank up the force required to activate the page turn buttons however, as I have frequently hit them accidentally. The page turn buttons do work with gloves on which a great for reading in a tree stand.",True
AVqVGZN9QMlgsOJE6eUZ,AVqVGZN9QMlgsOJE6eUZ,jncneal,B00REQKWGA,2017-07-19T00:00:00.000Z,5,Upgrade gift for wife,Was a gift to replace older one and she really likes this one. Light and the battery last much longer.,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,Kent,B06XB29FPF,2017-12-08T00:00:00.000Z,5,Great gift,Bought this for my parents to use with their Amazon prime account. Sure they will love it.,True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Daptek,B010CEHQTG,2017-09-18T00:00:00.000Z,4,Good Product,Nice device. We use it a lot in the kitchen and the home automation.,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,gymmom,B06XB29FPF,2017-12-16T00:00:00.000Z,5,Great Gift!,"Purchased as a gift for my 14 year old son. He absolutely loves it. Uses to place music, ask questions and turn off his lights!",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Robin,B010CEHQTG,2017-09-18T00:00:00.000Z,4,Great for checking in on the house,I purchased this as present for a friend and since I have an Echo I can video chat with her to check in. The quality of the video is great.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Munoz425,53-004484,2017-03-18T00:00:00.000Z,5,Great kindle for kids!,It was a perfect gift for my godson. He loved it! Definitely would recommend this product.,True
AWK8z0pOIwln0LfXlSxH,AWK8z0pOIwln0LfXlSxH,Xtreme56,B01J24C0TI,2017-12-01T00:00:00.000Z,5,Great buy,Upgraded from the echo to add video support for my cameras. Sound is much better,True
